Color,Paint,surface,SRI,Gage,GroovedEmbossed,GroovedSmooth,SilklineEmbossed,SilklineSmooth,MicroribbedEmbossed,MicroribbedSmooth,Embossed,Smooth
Blanc Régal/Regal White,PVDF CLASSIC,53.34,77,22,60,60,60,60,60,60,24',24
Blanc Régal/Regal White,PVDF CLASSIC,53.34,77,26,58.7,59.12,58.7,59.12,52.17,52.38,NA,NA
Blanc Brillant/Bright White,SMP CLASSIC,53.44,76,22,60,60,60,60,60,60,24',24'
Blanc Brillant/Bright White,SMP CLASSIC,53.44,76,24,60,60,60,60,56.22,60,NA,NA
Blanc Brillant/Bright White,SMP CLASSIC,53.44,76,26,58.59,58.97,58.59,58.97,52.11,52.32,NA,NA
Blanc Impérial/Imperial White,METALLIC,56.55,66,26,54.78,54.36,54.78,54.36,49.81,50.1,NA,NA
Electric Yellow,PVDF SIGNATURE,56.72,68,22,59.79,59.03,59.79,59.03,58.43,58.16,24',24'
Blanc Pur/White white,SMP CLASSIC,57.58,65,26,52.25,52.25,52.25,52.25,48.9,49.2,NA,NA
Sable/Sandstone,PVDF CLASSIC,58.61,63,22,57.22,56.17,57.22,56.17,55.25,54.89,24',24'
Blanc os/Bone White,SMP CLASSIC,60.53,57,26,49.4,48.4,49.4,48.4,45.8,46.1,NA,NA
Gris Pierre/Stone Grey,SMP CLASSIC,63.07,51,26,45.8,44.5,45.8,44.5,42.7,42.9,NA,NA
Argent Brillant/Bright Silver perspectra,METALLIC,63.42,50,22,50.89,49.3,50.9,49.3,47.8,47.3,24',24'
Gris élément/Element Grey,PVDF CLASSIC,63.57,49,22,46,45,46,45,43,42,24',24'
Riesling/Riesling,METALLIC,66.54,42,22,46.94,45.2,46.9,45.2,43.6,42.9,21',20'
Vibrant Red,SMP PREMIUM,66.6,41,22,46.87,45.1,46.9,45.1,43.5,42.8,21',20'
Beige Surrey ,PVDF CLASSIC,68.1,37,22,45.01,43.2,45,43.2,41.6,40.9,21',20'
Fauve/Tan,SMP CLASSIC,68.6,36,24,36.3,35.4,36.3,35.4,34,35.4,NA,NA
Pacific Turquoise,SMP PREMIUM,71.06,30,22,41.44,39.7,41.4,39.7,38.2,37.4,21',20'
Bleu Ardoise/Slate Blue,SMP PREMIUM,71.1,29,24,34,33,34,33,32,33,NA,NA
étain/Pewter perspectra,METALLIC,71.1,29,22,41.4,39.7,41.4,39.7,38.2,37.4,21',20'
Acier Satiné/Satin Steel,PVDF SIGNATURE,71.28,29,22,41.19,39.5,41.2,39.5,38,37.2,21',20'
Cuivre/Copper,METALLIC,71.4,29,22,41.05,39.3,41,39.3,37.8,37,21',20'
Fusain/Charcoal,PVDF CLASSIQUE,71.6,28,22,42,39.1,42,39.1,37.6,38,21',20'
Fusain/Charcoal,PVDF CLASSIQUE,71.6,28,26,31.9,31.2,31.9,31.2,28.7,28.1,NA,NA
Gris Tempéte/Storm Grey,PVDF SIGNATURE,72.14,27,22,41,40,41,40,39,38,21',20'
Gris Régent/Regent Gray,PVDF CLASSIC,72.41,26,22,41,40,41,40,39,38,21',20'
Gris Régent/Regent Gray,PVDF CLASSIC,72.41,26,26,30.5,29.9,30.5,29.9,27.1,26.4,NA,NA
Bleu royal/Royal Blue,PVDF SIGNATURE,73.27,24,22,38.85,37.2,38.8,37.2,35.9,35.1,21',20'
Gris Rigel /Grey Rigel,METALLIC,73.96,22,22,41,40,41,40,38,37,21',20'
Bleu Héron/Heron Blue,SMP PREMIUM,74.08,22,22,37.92,36.3,37.9,36.3,35.1,34.3,21',18'
Rouge Colonial/Colonial Red,PVDF SIGNATURE,75.75,17,22,36.01,34.6,36,34.6,33.6,32.7,21',18'
Brun Foncé /Dark Brown,SMP PREMIUM,77.52,11,22,31,30,31,30,28,27,NA,NA
Noir/Black,METALLIC,82.6,-1,22,28,28,28,28,28.6,27.6,NA,NA
